x-axis	Total diffraction	Diffraction pattern	Interference pattern	From Camera	
-0,014691	0,001807	0,014371	0,125650	0,029707	
-0,014654	0,002409	0,014905	0,161510	0,030572	
-0,014616	0,003105	0,015445	0,200919	0,036068	
-0,014579	0,003896	0,015991	0,243465	0,035914	
-0,014541	0,004779	0,016543	0,288700	0,040824	
-0,014504	0,005752	0,017100	0,336152	0,042275	
-0,014466	0,006810	0,017662	0,385322	0,052003	
-0,014429	0,007948	0,018230	0,435694	0,052497	
-0,014391	0,009157	0,018802	0,486741	0,061915	
-0,014354	0,010431	0,019378	0,537927	0,059846	
-0,014316	0,011757	0,019958	0,588716	0,068832	
-0,014279	0,013126	0,020541	0,638574	0,068277	
-0,014241	0,014524	0,021128	0,686980	0,081339	
-0,014204	0,015938	0,021717	0,733425	0,085137	
-0,014166	0,017355	0,022309	0,777422	0,092857	
-0,014129	0,018758	0,022903	0,818510	0,092147	
-0,014091	0,020134	0,023499	0,856259	0,099373	
-0,014054	0,021465	0,024096	0,890272	0,101380	
-0,014016	0,022737	0,024693	0,920192	0,110521	
-0,013978	0,023934	0,025291	0,945707	0,105982	
-0,013941	0,025040	0,025890	0,966547	0,110706	
-0,013903	0,026041	0,026488	0,982495	0,109039	
-0,013866	0,026923	0,027085	0,993384	0,113671	
-0,013828	0,027674	0,027681	0,999099	0,102461	
-0,013791	0,028282	0,028276	0,999580	0,108298	
-0,013753	0,028738	0,028869	0,994822	0,101967	
-0,013716	0,029033	0,029460	0,984875	0,100701	
-0,013678	0,029160	0,030047	0,969844	0,092703	
-0,013641	0,029115	0,030632	0,949886	0,101319	
-0,013603	0,028897	0,031213	0,925209	0,101349	
-0,013566	0,028504	0,031790	0,896074	0,103110	
-0,013528	0,027940	0,032363	0,862785	0,091406	
-0,013491	0,027208	0,032931	0,825692	0,098570	
-0,013453	0,026315	0,033493	0,785183	0,093506	
-0,013416	0,025270	0,034050	0,741684	0,096810	
-0,013378	0,024085	0,034601	0,695650	0,085508	
-0,013341	0,022773	0,035145	0,647565	0,076985	
-0,013303	0,021349	0,035682	0,597931	0,056418	
-0,013265	0,019831	0,036212	0,547271	0,063521	
-0,013228	0,018236	0,036734	0,496116	0,061915	
-0,013190	0,016586	0,037248	0,445000	0,063984	
-0,013153	0,014902	0,037754	0,394462	0,056326	
-0,013115	0,013206	0,038250	0,345031	0,062008	
-0,013078	0,011521	0,038737	0,297224	0,051972	
-0,013040	0,009870	0,039214	0,251545	0,054010	
-0,013003	0,008278	0,039681	0,208471	0,046722	
-0,012965	0,006766	0,040138	0,168454	0,043510	
-0,012928	0,005357	0,040583	0,131914	0,031220	
-0,012890	0,004073	0,041017	0,099235	0,032857	
-0,012853	0,002934	0,041439	0,070759	0,027545	
-0,012815	0,001959	0,041849	0,046784	0,030819	
